Laptop Lenovo Gaming Legion 5 15ACH6 R5 5600H/8GB/512GB/15.6”FHD/RTX 3050 4GB/Win 10 (No.00770874),28.999.000₫,,"15.6"", 1920 x 1080 Pixel, IPS, 165 Hz, 300 nits, IPS LCD LED Backlit, True Tone
AMD Ryzen 5-5600H
8 GB, DDR4, 3200 MHz
NVIDIA GeForce RTX 3050 4GB","Tặng PMH 200.000đ mua máy in Brother
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09
Microsoft Office tặng PMH 300.000đ khi mua kèm Laptop Chip AMD","1 đánh giá
|
0 Hỏi & đáp"
"Laptop Dell Gaming G3 15 i7 10750H/16GB/512GB/15.6""FHD/NV GTX1660Ti 6GB/Win 10 (No.00767204)",31.999.000₫,,"15.6"", 1920 x 1080 Pixel, WVA, 120 Hz, 250 nits, WVA Anti-glare LED Backlit Narrow Border
Intel Core i7-10750H
16 GB, DDR4, 2933 MHz
SSD 512 GB
NVIDIA® GeForce® GTX 1660Ti 6GB","Tặng PMH 200.000đ mua máy in Brother
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09","1 đánh giá
|
0 Hỏi & đáp"
U,n,k,n,o,w,n
Laptop Asus Gaming Strix G513QC HN015T/R7 5800H/ 8GB/512GB SSD/RTX 3050 4GB/Win10 (No.00760745),28.999.000₫,,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, 250 nits, Anti-glare LED-backlit
AMD Ryzen 7-5800H
8 GB, DDR4, 3200 MHz
SSD 512 GB
GeForce RTX 3050 4GB","Tặng PMH 200.000đ mua máy in Brother
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09
Microsoft Office tặng PMH 300.000đ khi mua kèm Laptop Chip AMD","1 đánh giá
|
0 Hỏi & đáp"
U,n,k,n,o,w,n
Laptop MSI Gaming GF65 10UE 286VN i5 10500H/16GB/512GB/15.6FHD/RTX 3060 Max-Q 6Gb/Win 10 (No.00752176),29.199.000₫,,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz
Intel Core i5-10500H
16 GB, DDR4, 3200 MHz
SSD 512 GB
NVIDIA GeForce RTX 3060 Max- Q 6GB","Tặng PMH 200.000đ mua máy in Brother
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09
Tặng Balo Gaming MSI","2 đánh giá
|
126 Hỏi & đáp"
U,n,k,n,o,w,n
"Laptop HP Pavilion 15 eg0540TU i5 1135G7/8GB/256GB/15.6""FHD/Win 10 (No.00768697)",17.999.000₫,,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, 250 nits
Intel Core i5-1135G7
8 GB, DDR4, 3200 MHz
SSD 256 GB
Intel Iris Xe Graphics","Tặng PMH 200.000đ mua máy in Brother
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09","2 đánh giá
|
550 Hỏi & đáp"
U,n,k,n,o,w,n
Laptop Acer Nitro Gaming AN515 57 51G6 i5 11400H/8GB/512GB SSD/RTX 3050 4GB/Win10 (No.00762458),25.999.000₫,,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, Acer ComfyView LED-backlit
Intel Core i5-11400H
8 GB, DDR4, 3200 MHz
SSD 512 GB
NVIDIA GeForce RTX3050 4GB","Tặng PMH 200.000đ mua máy in Brother
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09
Tặng thêm 1 năm bảo hành chính hãng Acer Xem chi tiết","5 đánh giá
|
544 Hỏi & đáp"
